Market,Data Request Type,Eligible for Combined Bill,Wireless Account Type,Wireless BAN Status,Plan Type,No. of Subscribers,Liability Type,Upgrade Eligibility,Discount,Pre-registered,U-verse Account Type,U-verse Products,No. Voip Lines,Promotions,DTV Plan Name
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,B2C,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,B2C,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,9,IRU,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,Residential,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,3,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,Yes,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,Yes,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,3,IRU,,,Yes,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,IRU,,,Yes,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,IRU,,,Yes,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,Yes,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,6,IRU,,,Yes,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,3,IRU,,,Yes,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,3,IRU,,,Yes,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",1,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,IPTV,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Double Play (IPTV, Voip)",1,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,3,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Double Play (IPTV, HSIA)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,Residential,"Double Play (HSIA, Voip)",1,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Double Play (IPTV, HSIA)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Double Play (HSIA, Voip)",1,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,3,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,2,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,Reward Card HSIA,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,CRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,Reward Card HSIA,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,Reward Card HSIA,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,Upgrade Eligible,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,IRU,Upgrade Eligible,IRU Discount,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,Product Based Promotion - CVoIP,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,9,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,B2C,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,B2C,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,B2C,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,9,IRU,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,Residential,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,6,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,B2C,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,2,IRU,Upgrade Eligible,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,2,IRU,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,5,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,4,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,HSIA,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,4,IRU,Upgrade Eligible,IRU Discount,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,Business,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,2,IRU,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,2,B2C,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,4,IRU,Upgrade Eligible,IRU Discount,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,4,IRU,Upgrade Eligible,IRU Discount,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,4,IRU,Upgrade Eligible,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,B2C,Upgrade Eligible,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,3,B2C,Upgrade Eligible,,No,Residential,"Triple Play (IPTV, HSIA, Voip)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,IRU,,,No,Residential,"Double Play (IPTV, HSIA)",0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,4,,,,No,Residential,HSIA,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,3,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Texas,U-VERSE,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Missouri,WIRELINE,,IR - Individual Regular,Open,Mixed,2,,,,No,Residential,,0,,
Indiana,DTV,,IR - Individual Regular,Open,Mixed,1,,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,1,,,,No,Residential,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Individual,8,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,6,IRU,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,2,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Family Talk,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mixed,1,,,,No,,,0,,
Newyork,WIRELESS,,IR - Individual Regular,Open,Mobile Share,1,,,,No,,,0,,
